Year,Round,Pick,Player,Team,Reg_Win,Reg_Loss,Reg_Tie,Reg_Games,Playoff_Seed,Playoff_Win,Playoff_Loss,Playoff_Games,Total_Win,Total_Loss,Total_Tie,Total_Games,Reg_Win%,Playoff_Win%,Total_Win%
2019,3,16,Jackson,Ravens,14.0,2.0,0.0,16.0,1.0,0.0,1.0,1.0,14.0,3.0,0.0,17.0,0.875,0.0,0.8235294117647058
2019,3,17,Dan,Panthers,5.0,11.0,0.0,16.0,,,,,5.0,11.0,0.0,16.0,0.3125,,0.3125
2019,3,18,Jordan,Titans,9.0,7.0,0.0,16.0,6.0,2.0,1.0,3.0,11.0,8.0,0.0,19.0,0.5625,0.6666666666666666,0.5789473684210527
2019,3,19,Alex,49ers,13.0,3.0,0.0,16.0,1.0,2.0,1.0,3.0,15.0,4.0,0.0,19.0,0.8125,0.6666666666666666,0.7894736842105263
2019,3,20,Mike,Bills,10.0,6.0,0.0,16.0,5.0,0.0,1.0,1.0,10.0,7.0,0.0,17.0,0.625,0.0,0.5882352941176471
2019,3,21,Brandon,Jaguars,6.0,10.0,0.0,16.0,,,,,6.0,10.0,0.0,16.0,0.375,,0.375
2019,4,22,Brandon,Jets,7.0,9.0,0.0,16.0,,,,,7.0,9.0,0.0,16.0,0.4375,,0.4375
2019,4,23,Mike,Broncos,7.0,9.0,0.0,16.0,,,,,7.0,9.0,0.0,16.0,0.4375,,0.4375
2019,4,24,Alex,Lions,3.0,12.0,1.0,16.0,,,,,3.0,12.0,1.0,16.0,0.1875,,0.1875
2019,4,25,Jordan,Cardinals,5.0,10.0,1.0,16.0,,,,,5.0,10.0,1.0,16.0,0.3125,,0.3125
2019,4,26,Dan,Bengals,2.0,14.0,0.0,16.0,,,,,2.0,14.0,0.0,16.0,0.125,,0.125
2019,4,27,Jackson,Raiders,7.0,9.0,0.0,16.0,,,,,7.0,9.0,0.0,16.0,0.4375,,0.4375
2019,4,28,JP,Colts,7.0,9.0,0.0,16.0,,,,,7.0,9.0,0.0,16.0,0.4375,,0.4375
2019,99,29,Leftover,Giants,4.0,12.0,0.0,16.0,,,,,4.0,12.0,0.0,16.0,0.25,,0.25
2019,99,30,Leftover,Buccaneers,7.0,9.0,0.0,16.0,,,,,7.0,9.0,0.0,16.0,0.4375,,0.4375
2019,99,31,Leftover,Redskins,3.0,13.0,0.0,16.0,,,,,3.0,13.0,0.0,16.0,0.1875,,0.1875
2019,99,32,Leftover,Dolphins,5.0,11.0,0.0,16.0,,,,,5.0,11.0,0.0,16.0,0.3125,,0.3125
2018,1,1,Jordan,Steelers,9.0,6.0,1.0,16.0,,,,,9.0,6.0,1.0,16.0,0.5625,,0.5625
2018,1,2,Mike,Patriots,11.0,5.0,0.0,16.0,2.0,3.0,0.0,3.0,14.0,5.0,0.0,19.0,0.6875,1.0,0.7368421052631579
2018,1,3,Alex,Vikings,8.0,7.0,1.0,16.0,,,,,8.0,7.0,1.0,16.0,0.5,,0.5
2018,1,4,Brandon,Rams,13.0,3.0,0.0,16.0,2.0,2.0,1.0,3.0,15.0,4.0,0.0,19.0,0.8125,0.6666666666666666,0.7894736842105263
2018,1,5,JP,Packers,6.0,9.0,1.0,16.0,,,,,6.0,9.0,1.0,16.0,0.375,,0.375
